id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
wc_post_id_2149,"44' Teenage Mutant Ninja Turtle Leonardo Airwalker Balloon","44' Teenage Mutant Ninja Turtle Leonardo Airwalker Balloon",https://balloonsd.com/wp-content/uploads/2020/12/41ttywCEZxL._SR400400_-2.jpg,https://balloonsd.com/product/44-teenage-mutant-ninja-turtle-leonardo-airwalker-balloon/,"Airwalkers","Balloon Stories",55USD,in stock,wc_post_id_2149,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,55USD,new,published,,,,,,,
wc_post_id_2141,"58' Frozen Elsa Anna & Olaf Airwalker Balloon","58' Frozen Elsa Anna & Olaf Airwalker Balloon",https://balloonsd.com/wp-content/uploads/2020/12/42242_star_wars_mandalorian_the_child_front.jpg,https://balloonsd.com/product/58-frozen-elsa-anna-olaf-airwalker-balloon/,"Airwalkers","Balloon Stories",65USD,in stock,wc_post_id_2141,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,65USD,new,published,,,,,,,
wc_post_id_2139,"75' Jake Airwalker Balloon","75' Jake Airwalker Balloon",https://balloonsd.com/wp-content/uploads/2020/12/4224-7.jpg,https://balloonsd.com/product/75-jake-airwalker-balloon/,"Airwalkers","Balloon Stories",65USD,in stock,wc_post_id_2139,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,65USD,new,published,,,,,,,
wc_post_id_2137,"82' Bugs Bunny Airwalker Balloon","82' Bugs Bunny Airwalker Balloon",https://balloonsd.com/wp-content/uploads/2020/12/4224-6.jpg,https://balloonsd.com/product/82-bugs-bunny-airwalker-balloon/,"Airwalkers","Balloon Stories",65USD,in stock,wc_post_id_2137,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,65USD,new,published,,,,,,,
wc_post_id_2133,"61' Tyrannosaurus Airwalker Balloon","61' Tyrannosaurus Airwalker Balloon",https://balloonsd.com/wp-content/uploads/2020/12/4224-5.jpg,https://balloonsd.com/product/61-tyrannosaurus-airwalker-balloon/,"Airwalkers","Balloon Stories",60USD,in stock,wc_post_id_2133,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,60USD,new,published,,,,,,,
wc_post_id_2131,"36' Spider-Man Airwalker Balloon","36' Spider-Man Airwalker Balloon",https://balloonsd.com/wp-content/uploads/2020/12/4224-4.jpg,https://balloonsd.com/product/36-spider-man-airwalker-balloon/,"Airwalkers","Balloon Stories",55USD,in stock,wc_post_id_2131,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,55USD,new,published,,,,,,,
wc_post_id_2127,"54' Paw Patrol Chase Airwalker Balloon","54' Paw Patrol Chase Airwalker Balloon",https://balloonsd.com/wp-content/uploads/2020/12/4224-3.jpg,https://balloonsd.com/product/54-paw-patrol-chase-airwalker-balloon/,"Airwalkers","Balloon Stories",55USD,in stock,wc_post_id_2127,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,55USD,new,published,,,,,,,
wc_post_id_2125,"54' Minnie Mouse Airwalker Balloon","54' Minnie Mouse Airwalker Balloon",https://balloonsd.com/wp-content/uploads/2020/12/4224-2.jpg,https://balloonsd.com/product/54-minnie-mouse-airwalker-balloon/,"Airwalkers","Balloon Stories",55USD,in stock,wc_post_id_2125,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,55USD,new,published,,,,,,,
wc_post_id_2123,"52' Mickey Airwalker Balloon","52' Mickey Airwalker Balloon",https://balloonsd.com/wp-content/uploads/2020/12/4224-1.jpg,https://balloonsd.com/product/52-mickey-airwalker-balloon/,"Airwalkers","Balloon Stories",55USD,in stock,wc_post_id_2123,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,55USD,new,published,,,,,,,
wc_post_id_2042,"46' Magical Unicorn Airwalker Balloon","46' Magical Unicorn Airwalker Balloon",https://balloonsd.com/wp-content/uploads/2020/12/4224.jpg,https://balloonsd.com/product/46-magical-unicorn-airwalker-balloon/,"Airwalkers","Balloon Stories",59USD,in stock,wc_post_id_2042,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,59USD,new,published,,,,,,,
wc_post_id_2039,"Printed 11' Disney Princess balloons","Color: Assortment of Pearl White, Pearl Lavender, Pearl Light Blue, Pearl Pink",https://balloonsd.com/wp-content/uploads/2020/12/41ttywCEZxL._SR400400_.jpg,https://balloonsd.com/product/printed-11-disney-princess/,"Latex Balloons","Balloon Stories",6USD,in stock,wc_post_id_2039,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,6USD,new,published,,,,,,,
wc_post_id_2029,"Printed 11' Pixar Cars balloons","Color: Assortment of Red, Pale Blue, Lime Green, Yellow",https://balloonsd.com/wp-content/uploads/2020/12/64012B.png,https://balloonsd.com/product/printed-11-pixar-cars-balloons/,"Latex Balloons","Balloon Stories",6USD,in stock,wc_post_id_2029,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,6USD,new,published,,,,,,,
1698_1698,"Christmas balloons decor with foil Candy canes, assorted latex balloons and foil cubes","The balloon decor includes: 
 
  Foil Cubes (3 pcs.) 24' 
  Foil Candy Canes (3pcs.) 28' 
  Organic Latex balloon decor ~2' lenght",https://balloonsd.com/wp-content/uploads/2020/11/p92.jpeg,https://balloonsd.com/product/christmas-candy/,"Bouquet Sets, Indoor","Balloon Stories",220USD,in stock,1698_1698,,"https://balloonsd.com/wp-content/uploads/2020/11/WhatsApp-Image-2020-11-19-at-5.32.46-PM-1-1.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,220USD,new,published,,,,,,,
wc_post_id_1697,"Christmas tree","Christmas tree",https://balloonsd.com/wp-content/uploads/2020/12/p68-1.jpg,https://balloonsd.com/product/christmas-tree-2/,"Balloon Figures","Balloon Stories",490USD,in stock,wc_post_id_1697,,,1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,490USD,new,staging,,,,,,,
wc_post_id_1696,"Christmas tree","Christmas tree",https://balloonsd.com/wp-content/uploads/2020/11/p91-1.jpeg,https://balloonsd.com/product/christmas-tree/,"Balloon Figures","Balloon Stories",890USD,in stock,wc_post_id_1696,,"https://balloonsd.com/wp-content/uploads/2020/11/WhatsApp-Image-2020-11-19-at-5.32.43-PM-1.jpeg",1970-01-29T00:00+00:00/1970-01-30T23:59+00:00,890USD,new,staging,,,,,,,
